Teams,Series Wins,Series Played,Last Won,Last Played
New York Yankees(AL),27,40,2009,2009
St. Louis Cardinals(NL),11,19,2011,2013
Oakland Athletics(AL),9,14,1989,1990
San Francisco Giants(NL),8,20,2014,2014
Boston Red Sox(AL),8,12,2013,2013
Los Angeles Dodgers(NL),6,19,1988,2017
Cincinnati Reds(NL),5,9,1990,1990
Pittsburgh Pirates(NL),5,7,1979,1979
Detroit Tigers(AL),4,11,1984,2012
Chicago Cubs(NL),3,11,2016,2016
Atlanta Braves(NL),3,9,1995,1999
Baltimore Orioles(AL),3,7,1983,1983
Minnesota Twins(AL),3,6,1991,1991
Chicago White Sox(AL),3,5,2005,2005
Philadelphia Phillies(NL),2,7,2008,2009
Cleveland Indians(AL),2,6,1948,2016
"New York Mets(NL) *",2,5,1986,2015
"Kansas City Royals(AL) *",2,4,2015,2015
"Miami Marlins(NL) *",2,2,2003,2003
"Toronto Blue Jays(AL) *",2,2,1993,1993
"Houston Astros(AL) *",1,2,2017,2017
"Los Angeles Angels(AL) *",1,1,2002,2002
"Arizona Diamondbacks(NL) *",1,1,2001,2001
"Texas Rangers(AL) *",0,2,--,2011
"San Diego Padres(NL) *",0,2,--,1998
"Milwaukee Brewers(NL) *",0,1,--,1982
"Tampa Bay Rays(AL) *",0,1,--,2008
"Colorado Rockies(NL) *",0,1,--,2007
"Seattle Mariners(AL) *",0,0,--,--
"Washington Nationals(NL) *",0,0,--,--